case_id,complaint_time,fraud_type,reported_amount,complaint_state_code,complaint_state_ut,initial_transaction_id,source_type,source_system,primary_mule_account_id,prediction_time
CASE_000018,2025-01-01 09:20:59,Remote Access Scam,42365,LD,Lakshadweep,TXN_0000018,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015843,2025-01-01 09:50:59
CASE_000019,2025-01-01 09:26:38,Social Engineering,47675,CG,Chhattisgarh,TXN_0000019,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011937,2025-01-01 09:56:38
CASE_000020,2025-01-01 11:13:27,Social Engineering,24510,MH,Maharashtra,TXN_0000020,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000062,2025-01-01 11:43:27
CASE_000021,2025-01-01 11:34:06,OTP Fraud,62149,DL,Delhi,TXN_0000021,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001119,2025-01-01 12:04:06
CASE_000022,2025-01-01 12:27:45,Investment Scam,26492,AP,Andhra Pradesh,TXN_0000022,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010455,2025-01-01 12:57:45
CASE_000023,2025-01-01 12:54:42,UPI Fraud,110022,CH,Chandigarh,TXN_0000023,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018841,2025-01-01 13:24:42
CASE_000024,2025-01-01 13:15:47,UPI Fraud,48832,LA,Ladakh,TXN_0000024,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_016426,2025-01-01 13:45:47
CASE_000025,2025-01-01 13:29:51,Investment Scam,71533,TS,Telangana,TXN_0000025,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009421,2025-01-01 13:59:51
CASE_000026,2025-01-01 14:51:12,Social Engineering,33305,WB,West Bengal,TXN_0000026,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001635,2025-01-01 15:21:12
CASE_000027,2025-01-01 15:46:11,Marketplace Fraud,217600,GJ,Gujarat,TXN_0000027,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001234,2025-01-01 16:16:11
CASE_000028,2025-01-01 18:49:35,OTP Fraud,34900,AP,Andhra Pradesh,TXN_0000028,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004612,2025-01-01 19:19:35
CASE_000029,2025-01-01 19:52:31,UPI Fraud,32853,GJ,Gujarat,TXN_0000029,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002974,2025-01-01 20:22:31
CASE_000030,2025-01-01 20:07:36,Remote Access Scam,9744,AR,Arunachal Pradesh,TXN_0000030,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014906,2025-01-01 20:37:36
CASE_000031,2025-01-01 20:14:02,Marketplace Fraud,47022,CH,Chandigarh,TXN_0000031,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007229,2025-01-01 20:44:02
CASE_000032,2025-01-01 20:22:29,Card Fraud,23055,NL,Nagaland,TXN_0000032,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002922,2025-01-01 20:52:29
CASE_000033,2025-01-01 21:57:12,Card Fraud,18566,JH,Jharkhand,TXN_0000033,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010879,2025-01-01 22:27:12
CASE_000034,2025-01-01 22:18:32,Phishing,92161,MP,Madhya Pradesh,TXN_0000034,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019794,2025-01-01 22:48:32
CASE_000035,2025-01-01 22:47:59,OTP Fraud,58369,CG,Chhattisgarh,TXN_0000035,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002617,2025-01-01 23:17:59
CASE_000036,2025-01-01 22:57:26,UPI Fraud,48728,NL,Nagaland,TXN_0000036,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001938,2025-01-01 23:27:26
CASE_000037,2025-01-01 23:36:31,Account Takeover,23088,MZ,Mizoram,TXN_0000037,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007828,2025-01-02 00:06:31
CASE_000038,2025-01-02 01:05:13,OTP Fraud,38896,JH,Jharkhand,TXN_0000038,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006099,2025-01-02 01:35:13
CASE_000039,2025-01-02 01:07:38,Loan App Fraud,29715,DN,Dadra and Nagar Haveli and Daman and Diu,TXN_0000039,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001084,2025-01-02 01:37:38
CASE_000040,2025-01-02 01:58:17,Loan App Fraud,14366,LA,Ladakh,TXN_0000040,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005437,2025-01-02 02:28:17
CASE_000041,2025-01-02 02:22:18,Loan App Fraud,52390,JK,Jammu and Kashmir,TXN_0000041,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008706,2025-01-02 02:52:18
CASE_000042,2025-01-02 04:23:33,Card Fraud,34319,PY,Puducherry,TXN_0000042,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019234,2025-01-02 04:53:33
CASE_000043,2025-01-02 07:29:47,Social Engineering,21066,TS,Telangana,TXN_0000043,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009852,2025-01-02 07:59:47
CASE_000044,2025-01-02 07:46:44,Marketplace Fraud,61464,GA,Goa,TXN_0000044,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010428,2025-01-02 08:16:44
CASE_000045,2025-01-02 09:13:21,Social Engineering,33844,DN,Dadra and Nagar Haveli and Daman and Diu,TXN_0000045,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008768,2025-01-02 09:43:21
CASE_000046,2025-01-02 09:26:57,Social Engineering,14348,SK,Sikkim,TXN_0000046,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003212,2025-01-02 09:56:57
CASE_000047,2025-01-02 09:55:42,Remote Access Scam,54014,ML,Meghalaya,TXN_0000047,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005080,2025-01-02 10:25:42
CASE_000048,2025-01-02 10:16:55,UPI Fraud,33977,OD,Odisha,TXN_0000048,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004823,2025-01-02 10:46:55
CASE_000049,2025-01-02 11:23:07,Remote Access Scam,57382,MN,Manipur,TXN_0000049,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001539,2025-01-02 11:53:07
CASE_000050,2025-01-02 11:24:57,Account Takeover,42892,KL,Kerala,TXN_0000050,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011258,2025-01-02 11:54:57
CASE_000051,2025-01-02 12:30:23,OTP Fraud,41103,KA,Karnataka,TXN_0000051,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001269,2025-01-02 13:00:23
CASE_000052,2025-01-02 12:58:47,Card Fraud,55574,HR,Haryana,TXN_0000052,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003344,2025-01-02 13:28:47
CASE_000053,2025-01-02 13:56:34,Investment Scam,26940,AN,Andaman and Nicobar Islands,TXN_0000053,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010401,2025-01-02 14:26:34
CASE_000054,2025-01-02 13:58:03,Account Takeover,51369,AS,Assam,TXN_0000054,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005572,2025-01-02 14:28:03
CASE_000055,2025-01-02 15:04:44,Social Engineering,24936,TN,Tamil Nadu,TXN_0000055,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013263,2025-01-02 15:34:44
CASE_000056,2025-01-02 15:45:30,Social Engineering,33103,GA,Goa,TXN_0000056,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007748,2025-01-02 16:15:30
CASE_000057,2025-01-02 16:17:04,Card Fraud,118074,AS,Assam,TXN_0000057,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018560,2025-01-02 16:47:04
CASE_000058,2025-01-02 16:42:09,OTP Fraud,137703,MP,Madhya Pradesh,TXN_0000058,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004984,2025-01-02 17:12:09
CASE_000059,2025-01-02 16:54:33,Social Engineering,16410,NL,Nagaland,TXN_0000059,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010497,2025-01-02 17:24:33
CASE_000060,2025-01-02 16:57:04,OTP Fraud,56434,LD,Lakshadweep,TXN_0000060,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004676,2025-01-02 17:27:04
CASE_000061,2025-01-02 17:26:12,Investment Scam,67309,AP,Andhra Pradesh,TXN_0000061,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014994,2025-01-02 17:56:12
CASE_000062,2025-01-02 17:26:24,Card Fraud,21791,PB,Punjab,TXN_0000062,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000268,2025-01-02 17:56:24
CASE_000063,2025-01-02 18:08:57,Remote Access Scam,128764,MP,Madhya Pradesh,TXN_0000063,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002989,2025-01-02 18:38:57
CASE_000064,2025-01-02 18:31:55,Loan App Fraud,19094,PY,Puducherry,TXN_0000064,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004340,2025-01-02 19:01:55
CASE_000065,2025-01-02 18:34:32,Account Takeover,208580,OD,Odisha,TXN_0000065,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018476,2025-01-02 19:04:32
CASE_000066,2025-01-02 18:46:50,Phishing,25221,PY,Puducherry,TXN_0000066,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017503,2025-01-02 19:16:50
CASE_000067,2025-01-02 19:20:01,Account Takeover,27524,MZ,Mizoram,TXN_0000067,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007270,2025-01-02 19:50:01
CASE_000068,2025-01-02 20:46:28,Account Takeover,22495,UP,Uttar Pradesh,TXN_0000068,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008183,2025-01-02 21:16:28
CASE_000069,2025-01-02 21:50:15,Social Engineering,132532,TR,Tripura,TXN_0000069,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001040,2025-01-02 22:20:15
CASE_000070,2025-01-03 00:46:24,Investment Scam,7959,ML,Meghalaya,TXN_0000070,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003543,2025-01-03 01:16:24
CASE_000071,2025-01-03 02:29:52,Account Takeover,176343,UK,Uttarakhand,TXN_0000071,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011186,2025-01-03 02:59:52
CASE_000072,2025-01-03 03:04:44,Phishing,34042,MP,Madhya Pradesh,TXN_0000072,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019892,2025-01-03 03:34:44
CASE_000073,2025-01-03 04:28:02,Loan App Fraud,15474,LA,Ladakh,TXN_0000073,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011269,2025-01-03 04:58:02
CASE_000074,2025-01-03 04:51:19,Phishing,37301,JK,Jammu and Kashmir,TXN_0000074,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001559,2025-01-03 05:21:19
CASE_000075,2025-01-03 04:55:58,Account Takeover,15589,GA,Goa,TXN_0000075,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002191,2025-01-03 05:25:58
CASE_000076,2025-01-03 06:27:44,Card Fraud,64868,NL,Nagaland,TXN_0000076,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014051,2025-01-03 06:57:44
CASE_000077,2025-01-03 07:57:12,Marketplace Fraud,152984,KA,Karnataka,TXN_0000077,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013937,2025-01-03 08:27:12
CASE_000078,2025-01-03 08:07:49,Phishing,54997,AP,Andhra Pradesh,TXN_0000078,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019824,2025-01-03 08:37:49
CASE_000079,2025-01-03 09:56:12,Loan App Fraud,56863,AS,Assam,TXN_0000079,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_016474,2025-01-03 10:26:12
CASE_000080,2025-01-03 10:52:34,OTP Fraud,18197,JK,Jammu and Kashmir,TXN_0000080,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013637,2025-01-03 11:22:34
CASE_000081,2025-01-03 12:19:19,Card Fraud,53838,AP,Andhra Pradesh,TXN_0000081,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002891,2025-01-03 12:49:19
CASE_000082,2025-01-03 12:23:28,UPI Fraud,24675,DL,Delhi,TXN_0000082,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003291,2025-01-03 12:53:28
CASE_000083,2025-01-03 16:28:51,Phishing,24915,MP,Madhya Pradesh,TXN_0000083,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013900,2025-01-03 16:58:51
CASE_000084,2025-01-03 17:31:30,Investment Scam,28328,JK,Jammu and Kashmir,TXN_0000084,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011921,2025-01-03 18:01:30
CASE_000085,2025-01-03 18:21:12,Remote Access Scam,22152,CG,Chhattisgarh,TXN_0000085,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003798,2025-01-03 18:51:12
CASE_000086,2025-01-03 19:16:06,UPI Fraud,94604,RJ,Rajasthan,TXN_0000086,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018935,2025-01-03 19:46:06
CASE_000087,2025-01-03 19:25:48,Marketplace Fraud,22411,MN,Manipur,TXN_0000087,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008598,2025-01-03 19:55:48
CASE_000088,2025-01-03 19:30:27,UPI Fraud,12347,RJ,Rajasthan,TXN_0000088,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009597,2025-01-03 20:00:27
CASE_000089,2025-01-03 21:16:37,Marketplace Fraud,19838,KA,Karnataka,TXN_0000089,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002915,2025-01-03 21:46:37
CASE_000090,2025-01-03 21:49:49,UPI Fraud,155918,OD,Odisha,TXN_0000090,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001478,2025-01-03 22:19:49
CASE_000091,2025-01-03 23:17:29,Marketplace Fraud,84255,MN,Manipur,TXN_0000091,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017133,2025-01-03 23:47:29
CASE_000092,2025-01-04 00:24:25,Card Fraud,74203,MN,Manipur,TXN_0000092,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004836,2025-01-04 00:54:25
CASE_000093,2025-01-04 01:07:36,UPI Fraud,20379,HR,Haryana,TXN_0000093,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006497,2025-01-04 01:37:36
CASE_000094,2025-01-04 01:17:38,Marketplace Fraud,53100,HP,Himachal Pradesh,TXN_0000094,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019230,2025-01-04 01:47:38
CASE_000095,2025-01-04 01:21:58,Phishing,51017,JH,Jharkhand,TXN_0000095,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005511,2025-01-04 01:51:58
CASE_000096,2025-01-04 03:11:47,UPI Fraud,75826,SK,Sikkim,TXN_0000096,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015343,2025-01-04 03:41:47
CASE_000097,2025-01-04 03:21:04,Account Takeover,66008,MH,Maharashtra,TXN_0000097,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006092,2025-01-04 03:51:04
CASE_000098,2025-01-04 05:40:04,Investment Scam,23320,AP,Andhra Pradesh,TXN_0000098,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001217,2025-01-04 06:10:04
CASE_000099,2025-01-04 08:21:13,Social Engineering,14517,MN,Manipur,TXN_0000099,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018869,2025-01-04 08:51:13
CASE_000100,2025-01-04 11:11:17,Phishing,69441,JH,Jharkhand,TXN_0000100,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008048,2025-01-04 11:41:17
CASE_000101,2025-01-04 12:11:20,Investment Scam,14458,AS,Assam,TXN_0000101,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001842,2025-01-04 12:41:20
CASE_000102,2025-01-04 12:52:36,Loan App Fraud,40092,LD,Lakshadweep,TXN_0000102,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014728,2025-01-04 13:22:36
CASE_000103,2025-01-04 13:44:54,Marketplace Fraud,13046,UP,Uttar Pradesh,TXN_0000103,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003701,2025-01-04 14:14:54
CASE_000104,2025-01-04 13:53:57,Loan App Fraud,142627,SK,Sikkim,TXN_0000104,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002992,2025-01-04 14:23:57
CASE_000105,2025-01-04 15:37:50,Remote Access Scam,24555,TR,Tripura,TXN_0000105,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002937,2025-01-04 16:07:50
CASE_000106,2025-01-04 15:51:55,Phishing,41037,PB,Punjab,TXN_0000106,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_012341,2025-01-04 16:21:55
CASE_000107,2025-01-04 16:33:00,UPI Fraud,22680,AR,Arunachal Pradesh,TXN_0000107,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008699,2025-01-04 17:03:00
CASE_000108,2025-01-04 16:56:22,Investment Scam,19739,HR,Haryana,TXN_0000108,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003653,2025-01-04 17:26:22
CASE_000109,2025-01-04 18:17:37,OTP Fraud,44208,KA,Karnataka,TXN_0000109,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018940,2025-01-04 18:47:37
CASE_000110,2025-01-04 19:01:31,Account Takeover,39915,HR,Haryana,TXN_0000110,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018784,2025-01-04 19:31:31
CASE_000111,2025-01-04 19:22:04,Social Engineering,21573,WB,West Bengal,TXN_0000111,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008422,2025-01-04 19:52:04
CASE_000112,2025-01-04 20:24:50,Remote Access Scam,271429,CH,Chandigarh,TXN_0000112,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013699,2025-01-04 20:54:50
CASE_000113,2025-01-04 20:59:03,OTP Fraud,46146,PY,Puducherry,TXN_0000113,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007998,2025-01-04 21:29:03
CASE_000114,2025-01-04 23:25:53,Loan App Fraud,199299,GJ,Gujarat,TXN_0000114,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019315,2025-01-04 23:55:53
CASE_000115,2025-01-04 23:55:52,Account Takeover,47348,GA,Goa,TXN_0000115,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007856,2025-01-05 00:25:52
CASE_000116,2025-01-05 02:52:47,Social Engineering,20246,HP,Himachal Pradesh,TXN_0000116,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009213,2025-01-05 03:22:47
CASE_000117,2025-01-05 03:27:41,Marketplace Fraud,15028,KL,Kerala,TXN_0000117,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015648,2025-01-05 03:57:41
CASE_000118,2025-01-05 03:42:36,Account Takeover,5344,GA,Goa,TXN_0000118,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015095,2025-01-05 04:12:36
CASE_000119,2025-01-05 04:11:42,Account Takeover,16573,RJ,Rajasthan,TXN_0000119,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010304,2025-01-05 04:41:42
CASE_000120,2025-01-05 04:49:42,Card Fraud,8835,TN,Tamil Nadu,TXN_0000120,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006808,2025-01-05 05:19:42
