case_id,cashout_occurred,source_type,cashout_atm_id,cashout_time,cashout_amount,outcome_status
CASE_000046,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000047,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000048,1,SYNTHETIC_PROTOTYPE,SYN_ATM_14264,2025-01-02 11:44:26,22469,Cash-out observed after prediction point
CASE_000049,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12113,2025-01-02 17:01:07,22042,Cash-out observed after prediction point
CASE_000050,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08930,2025-01-02 13:17:32,20633,Cash-out observed after prediction point
CASE_000051,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08707,2025-01-02 18:49:19,23304,Cash-out observed after prediction point
CASE_000052,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000053,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00132,2025-01-02 15:02:43,3385,Cash-out observed after prediction point
CASE_000054,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01865,2025-01-02 17:49:27,7960,Cash-out observed after prediction point
CASE_000055,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16924,2025-01-02 21:59:47,4087,Cash-out observed after prediction point
CASE_000056,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05174,2025-01-02 22:48:52,8995,Cash-out observed after prediction point
CASE_000057,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01845,2025-01-02 19:56:16,82155,Cash-out observed after prediction point
CASE_000058,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11011,2025-01-02 20:26:06,73075,Cash-out observed after prediction point
CASE_000059,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000060,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000061,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00801,2025-01-02 21:47:19,32470,Cash-out observed after prediction point
CASE_000062,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15233,2025-01-02 22:09:14,2373,Cash-out observed after prediction point
CASE_000063,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10828,2025-01-03 00:45:11,51435,Cash-out observed after prediction point
CASE_000064,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000065,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13968,2025-01-02 21:14:47,25766,Cash-out observed after prediction point
CASE_000066,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000067,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13084,2025-01-03 02:34:06,6595,Cash-out observed after prediction point
CASE_000068,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18711,2025-01-03 03:37:10,10063,Cash-out observed after prediction point
CASE_000069,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18263,2025-01-03 00:04:21,73687,Cash-out observed after prediction point
CASE_000070,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000071,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19209,2025-01-03 03:42:17,13420,Cash-out observed after prediction point
CASE_000072,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000073,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09716,2025-01-03 05:44:33,4206,Cash-out observed after prediction point
CASE_000074,1,SYNTHETIC_PROTOTYPE,SYN_ATM_07328,2025-01-03 07:42:34,5575,Cash-out observed after prediction point
CASE_000075,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05509,2025-01-03 12:11:46,7206,Cash-out observed after prediction point
CASE_000076,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000077,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08838,2025-01-03 14:45:24,72375,Cash-out observed after prediction point
CASE_000078,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00917,2025-01-03 10:36:01,15291,Cash-out observed after prediction point
CASE_000079,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000080,1,SYNTHETIC_PROTOTYPE,SYN_ATM_07698,2025-01-03 18:39:44,3310,Cash-out observed after prediction point
CASE_000081,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00566,2025-01-03 20:33:59,15845,Cash-out observed after prediction point
CASE_000082,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04816,2025-01-03 16:24:21,6763,Cash-out observed after prediction point
CASE_000083,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10966,2025-01-03 20:03:24,16454,Cash-out observed after prediction point
CASE_000084,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000085,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000086,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15574,2025-01-03 23:00:14,51314,Cash-out observed after prediction point
CASE_000087,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12089,2025-01-03 23:17:08,3370,Cash-out observed after prediction point
CASE_000088,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000089,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000090,1,SYNTHETIC_PROTOTYPE,SYN_ATM_14381,2025-01-04 00:56:26,46461,Cash-out observed after prediction point
CASE_000091,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11861,2025-01-04 01:03:14,13941,Cash-out observed after prediction point
CASE_000092,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11890,2025-01-04 03:32:03,13333,Cash-out observed after prediction point
CASE_000093,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06317,2025-01-04 06:06:41,7674,Cash-out observed after prediction point
CASE_000094,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000095,1,SYNTHETIC_PROTOTYPE,SYN_ATM_07885,2025-01-04 08:44:50,5844,Cash-out observed after prediction point
CASE_000096,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16258,2025-01-04 10:16:19,7956,Cash-out observed after prediction point
CASE_000097,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11538,2025-01-04 11:19:17,7878,Cash-out observed after prediction point
CASE_000098,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00886,2025-01-04 10:07:19,4960,Cash-out observed after prediction point
CASE_000099,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12146,2025-01-04 16:20:00,4975,Cash-out observed after prediction point
CASE_000100,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08032,2025-01-04 16:11:15,19484,Cash-out observed after prediction point
CASE_000101,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01705,2025-01-04 15:20:47,2559,Cash-out observed after prediction point
CASE_000102,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10536,2025-01-04 17:06:04,13756,Cash-out observed after prediction point
CASE_000103,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18756,2025-01-04 21:48:15,2015,Cash-out observed after prediction point
CASE_000104,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16547,2025-01-04 19:13:47,28930,Cash-out observed after prediction point
CASE_000105,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18112,2025-01-04 18:11:35,3850,Cash-out observed after prediction point
CASE_000106,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000107,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01176,2025-01-05 00:47:12,5563,Cash-out observed after prediction point
CASE_000108,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06638,2025-01-04 22:22:04,7537,Cash-out observed after prediction point
CASE_000109,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000110,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06581,2025-01-05 02:05:09,12804,Cash-out observed after prediction point
CASE_000111,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000112,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03293,2025-01-05 03:15:51,49876,Cash-out observed after prediction point
CASE_000113,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15008,2025-01-05 05:02:00,19428,Cash-out observed after prediction point
CASE_000114,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05618,2025-01-05 07:50:39,121902,Cash-out observed after prediction point
CASE_000115,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05324,2025-01-05 03:32:42,5237,Cash-out observed after prediction point
CASE_000116,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06869,2025-01-05 07:12:19,8203,Cash-out observed after prediction point
CASE_000117,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09205,2025-01-05 07:58:04,4855,Cash-out observed after prediction point
CASE_000118,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05181,2025-01-05 08:06:17,1181,Cash-out observed after prediction point
CASE_000119,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000120,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16761,2025-01-05 11:02:26,3716,Cash-out observed after prediction point
CASE_000121,1,SYNTHETIC_PROTOTYPE,SYN_ATM_14685,2025-01-05 15:02:26,13394,Cash-out observed after prediction point
CASE_000122,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04031,2025-01-05 12:03:16,25524,Cash-out observed after prediction point
CASE_000123,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01179,2025-01-05 15:16:04,13411,Cash-out observed after prediction point
CASE_000124,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000125,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09167,2025-01-05 15:19:22,7698,Cash-out observed after prediction point
CASE_000126,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000127,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11170,2025-01-05 17:45:23,42936,Cash-out observed after prediction point
CASE_000128,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000129,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03222,2025-01-05 16:58:33,14765,Cash-out observed after prediction point
CASE_000130,1,SYNTHETIC_PROTOTYPE,SYN_ATM_14139,2025-01-05 16:40:08,9704,Cash-out observed after prediction point
CASE_000131,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000132,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12561,2025-01-05 16:21:01,16213,Cash-out observed after prediction point
CASE_000133,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15244,2025-01-05 16:15:41,2629,Cash-out observed after prediction point
CASE_000134,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04292,2025-01-05 20:40:17,107990,Cash-out observed after prediction point
CASE_000135,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000136,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000137,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15445,2025-01-05 21:52:43,13142,Cash-out observed after prediction point
CASE_000138,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02976,2025-01-05 23:01:28,31822,Cash-out observed after prediction point
CASE_000139,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08950,2025-01-06 06:06:37,13502,Cash-out observed after prediction point
CASE_000140,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000141,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000142,1,SYNTHETIC_PROTOTYPE,SYN_ATM_17495,2025-01-06 07:19:29,8364,Cash-out observed after prediction point
CASE_000143,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000144,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18363,2025-01-06 12:59:38,17000,Cash-out observed after prediction point
CASE_000145,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000146,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12894,2025-01-06 16:28:15,13294,Cash-out observed after prediction point
CASE_000147,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09671,2025-01-06 12:10:50,25934,Cash-out observed after prediction point
CASE_000148,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04043,2025-01-06 18:06:50,4122,Cash-out observed after prediction point
CASE_000149,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11451,2025-01-06 16:56:33,6010,Cash-out observed after prediction point
CASE_000150,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00139,2025-01-06 13:31:58,29293,Cash-out observed after prediction point
CASE_000151,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000152,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10803,2025-01-06 18:38:23,1100,Cash-out observed after prediction point
CASE_000153,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000154,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000155,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12994,2025-01-06 22:18:13,16391,Cash-out observed after prediction point
CASE_000156,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000157,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000158,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18094,2025-01-07 00:31:26,1551,Cash-out observed after prediction point
CASE_000159,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05989,2025-01-07 00:02:22,5167,Cash-out observed after prediction point
CASE_000160,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02884,2025-01-07 01:35:33,12566,Cash-out observed after prediction point
CASE_000161,1,SYNTHETIC_PROTOTYPE,SYN_ATM_07946,2025-01-07 00:42:59,3586,Cash-out observed after prediction point
CASE_000162,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19421,2025-01-07 02:07:41,2567,Cash-out observed after prediction point
CASE_000163,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13770,2025-01-07 04:14:56,26623,Cash-out observed after prediction point
CASE_000164,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000165,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16796,2025-01-07 01:57:39,17247,Cash-out observed after prediction point
CASE_000166,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00173,2025-01-07 08:15:56,13317,Cash-out observed after prediction point
CASE_000167,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03858,2025-01-07 05:05:10,4992,Cash-out observed after prediction point
CASE_000168,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00858,2025-01-07 09:25:27,15972,Cash-out observed after prediction point
CASE_000169,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11375,2025-01-07 05:38:17,19004,Cash-out observed after prediction point
CASE_000170,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16486,2025-01-07 08:31:18,2249,Cash-out observed after prediction point
CASE_000171,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09590,2025-01-07 08:08:02,27835,Cash-out observed after prediction point
CASE_000172,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15606,2025-01-07 09:42:45,13080,Cash-out observed after prediction point
CASE_000173,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000174,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000175,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06110,2025-01-07 14:19:55,18040,Cash-out observed after prediction point
CASE_000176,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000177,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09148,2025-01-07 12:08:22,200000,Cash-out observed after prediction point
CASE_000178,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05234,2025-01-07 16:56:28,15187,Cash-out observed after prediction point
CASE_000179,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02358,2025-01-07 16:01:08,8491,Cash-out observed after prediction point
CASE_000180,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05348,2025-01-07 17:04:21,4931,Cash-out observed after prediction point
CASE_000181,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02600,2025-01-07 12:53:30,28048,Cash-out observed after prediction point
CASE_000182,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12168,2025-01-07 17:08:00,2800,Cash-out observed after prediction point
CASE_000183,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13719,2025-01-07 15:20:54,28252,Cash-out observed after prediction point
CASE_000184,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13322,2025-01-07 14:53:24,2522,Cash-out observed after prediction point
CASE_000185,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04663,2025-01-07 16:19:22,4693,Cash-out observed after prediction point
CASE_000186,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05418,2025-01-07 20:22:16,19264,Cash-out observed after prediction point
CASE_000187,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08740,2025-01-07 19:57:17,5257,Cash-out observed after prediction point
CASE_000188,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00541,2025-01-08 01:37:36,3667,Cash-out observed after prediction point
CASE_000189,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000190,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19753,2025-01-08 00:43:29,49031,Cash-out observed after prediction point
CASE_000191,1,SYNTHETIC_PROTOTYPE,SYN_ATM_00890,2025-01-08 03:40:42,3989,Cash-out observed after prediction point
CASE_000192,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19954,2025-01-08 02:08:44,1000,Cash-out observed after prediction point
CASE_000193,1,SYNTHETIC_PROTOTYPE,SYN_ATM_08233,2025-01-08 05:18:25,5023,Cash-out observed after prediction point
CASE_000194,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000195,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000196,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05899,2025-01-08 03:29:47,43797,Cash-out observed after prediction point
CASE_000197,1,SYNTHETIC_PROTOTYPE,SYN_ATM_04420,2025-01-08 05:13:36,6534,Cash-out observed after prediction point
CASE_000198,1,SYNTHETIC_PROTOTYPE,SYN_ATM_15145,2025-01-08 08:39:41,31964,Cash-out observed after prediction point
CASE_000199,1,SYNTHETIC_PROTOTYPE,SYN_ATM_10869,2025-01-08 06:55:55,23667,Cash-out observed after prediction point
CASE_000200,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000201,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02179,2025-01-08 08:12:14,2164,Cash-out observed after prediction point
CASE_000202,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000203,1,SYNTHETIC_PROTOTYPE,SYN_ATM_16084,2025-01-08 12:26:52,5375,Cash-out observed after prediction point
CASE_000204,1,SYNTHETIC_PROTOTYPE,SYN_ATM_12572,2025-01-08 10:42:27,27977,Cash-out observed after prediction point
CASE_000205,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06893,2025-01-08 07:19:46,14251,Cash-out observed after prediction point
CASE_000206,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02448,2025-01-08 09:44:31,16660,Cash-out observed after prediction point
CASE_000207,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02384,2025-01-08 12:20:37,1382,Cash-out observed after prediction point
CASE_000208,1,SYNTHETIC_PROTOTYPE,SYN_ATM_07960,2025-01-08 15:05:21,14433,Cash-out observed after prediction point
CASE_000209,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03960,2025-01-08 16:09:15,20597,Cash-out observed after prediction point
CASE_000210,1,SYNTHETIC_PROTOTYPE,SYN_ATM_17276,2025-01-08 12:37:02,16544,Cash-out observed after prediction point
CASE_000211,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09817,2025-01-08 15:03:16,19106,Cash-out observed after prediction point
CASE_000212,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000213,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02477,2025-01-08 21:57:21,48434,Cash-out observed after prediction point
CASE_000214,1,SYNTHETIC_PROTOTYPE,SYN_ATM_18036,2025-01-08 15:56:34,34066,Cash-out observed after prediction point
CASE_000215,1,SYNTHETIC_PROTOTYPE,SYN_ATM_03130,2025-01-08 20:07:12,4212,Cash-out observed after prediction point
CASE_000216,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05713,2025-01-08 20:14:31,25705,Cash-out observed after prediction point
CASE_000217,1,SYNTHETIC_PROTOTYPE,SYN_ATM_14773,2025-01-08 20:04:06,8730,Cash-out observed after prediction point
CASE_000218,1,SYNTHETIC_PROTOTYPE,SYN_ATM_06574,2025-01-08 20:50:01,14067,Cash-out observed after prediction point
CASE_000219,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05260,2025-01-08 23:30:18,4132,Cash-out observed after prediction point
CASE_000220,1,SYNTHETIC_PROTOTYPE,SYN_ATM_13253,2025-01-09 02:53:24,25585,Cash-out observed after prediction point
CASE_000221,1,SYNTHETIC_PROTOTYPE,SYN_ATM_19019,2025-01-09 04:17:09,47337,Cash-out observed after prediction point
CASE_000222,1,SYNTHETIC_PROTOTYPE,SYN_ATM_02826,2025-01-09 01:56:36,18663,Cash-out observed after prediction point
CASE_000223,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000224,1,SYNTHETIC_PROTOTYPE,SYN_ATM_05945,2025-01-09 01:01:38,44540,Cash-out observed after prediction point
CASE_000225,1,SYNTHETIC_PROTOTYPE,SYN_ATM_09356,2025-01-09 05:16:58,3121,Cash-out observed after prediction point
CASE_000226,0,SYNTHETIC_PROTOTYPE,,,0,No cash-out observed after prediction point
CASE_000227,1,SYNTHETIC_PROTOTYPE,SYN_ATM_01140,2025-01-09 04:04:12,30326,Cash-out observed after prediction point
CASE_000228,1,SYNTHETIC_PROTOTYPE,SYN_ATM_11302,2025-01-09 08:01:13,19780,Cash-out observed after prediction point
