withdrawal_id,account_id,atm_id,timestamp,amount,case_id,source_type
W_0000018,ACC_019115,SYN_ATM_17010,2024-12-30 00:47:06,10000,CASE_000016,SYNTHETIC_PROTOTYPE
W_0000019,ACC_009089,SYN_ATM_13076,2025-01-01 14:32:24,31079,CASE_000017,SYNTHETIC_PROTOTYPE
W_0000020,ACC_000062,SYN_ATM_11658,2025-01-01 18:36:35,10289,CASE_000020,SYNTHETIC_PROTOTYPE
W_0000021,ACC_017167,SYN_ATM_11197,2025-01-01 01:33:47,10122,CASE_000020,SYNTHETIC_PROTOTYPE
W_0000022,ACC_001119,SYN_ATM_04635,2025-01-01 15:37:48,40556,CASE_000021,SYNTHETIC_PROTOTYPE
W_0000023,ACC_010455,SYN_ATM_00589,2025-01-01 17:25:39,6266,CASE_000022,SYNTHETIC_PROTOTYPE
W_0000024,ACC_018841,SYN_ATM_03173,2025-01-01 19:31:59,15141,CASE_000023,SYNTHETIC_PROTOTYPE
W_0000025,ACC_019787,SYN_ATM_02976,2024-12-30 12:51:30,26872,CASE_000023,SYNTHETIC_PROTOTYPE
W_0000026,ACC_009421,SYN_ATM_17514,2025-01-01 21:04:25,18037,CASE_000025,SYNTHETIC_PROTOTYPE
W_0000027,ACC_001635,SYN_ATM_19879,2025-01-01 17:56:31,8402,CASE_000026,SYNTHETIC_PROTOTYPE
W_0000028,ACC_004612,SYN_ATM_00588,2025-01-02 01:28:28,5552,CASE_000028,SYNTHETIC_PROTOTYPE
W_0000029,ACC_007229,SYN_ATM_03156,2025-01-02 02:56:26,17902,CASE_000031,SYNTHETIC_PROTOTYPE
W_0000030,ACC_017577,SYN_ATM_03132,2025-01-01 01:20:40,1831,CASE_000031,SYNTHETIC_PROTOTYPE
W_0000031,ACC_002922,SYN_ATM_13830,2025-01-02 02:48:50,7711,CASE_000032,SYNTHETIC_PROTOTYPE
W_0000032,ACC_010879,SYN_ATM_08024,2025-01-01 23:52:07,10692,CASE_000033,SYNTHETIC_PROTOTYPE
W_0000033,ACC_019794,SYN_ATM_10691,2025-01-02 02:49:04,47748,CASE_000034,SYNTHETIC_PROTOTYPE
W_0000034,ACC_002617,SYN_ATM_03366,2025-01-02 07:09:42,12363,CASE_000035,SYNTHETIC_PROTOTYPE
W_0000035,ACC_001565,SYN_ATM_03677,2025-01-01 14:39:21,1296,CASE_000035,SYNTHETIC_PROTOTYPE
W_0000036,ACC_006099,SYN_ATM_08302,2025-01-02 07:43:54,8480,CASE_000038,SYNTHETIC_PROTOTYPE
W_0000037,ACC_001084,SYN_ATM_04240,2025-01-02 04:47:38,20546,CASE_000039,SYNTHETIC_PROTOTYPE
W_0000038,ACC_005437,SYN_ATM_09638,2025-01-02 09:18:21,2083,CASE_000040,SYNTHETIC_PROTOTYPE
W_0000039,ACC_009852,SYN_ATM_17778,2025-01-02 09:53:13,6082,CASE_000043,SYNTHETIC_PROTOTYPE
W_0000040,ACC_008768,SYN_ATM_04017,2025-01-02 15:44:58,3124,CASE_000045,SYNTHETIC_PROTOTYPE
W_0000041,ACC_010702,SYN_ATM_04257,2025-01-01 10:03:15,4035,CASE_000045,SYNTHETIC_PROTOTYPE
W_0000042,ACC_004823,SYN_ATM_14264,2025-01-02 11:44:26,22469,CASE_000048,SYNTHETIC_PROTOTYPE
W_0000043,ACC_000977,SYN_ATM_14265,2024-12-30 17:29:36,6546,CASE_000048,SYNTHETIC_PROTOTYPE
W_0000044,ACC_001539,SYN_ATM_12113,2025-01-02 17:01:07,22042,CASE_000049,SYNTHETIC_PROTOTYPE
W_0000046,ACC_019834,SYN_ATM_12078,2024-12-30 15:25:22,3586,CASE_000049,SYNTHETIC_PROTOTYPE
W_0000045,ACC_015508,SYN_ATM_11888,2025-01-02 00:30:08,7653,CASE_000049,SYNTHETIC_PROTOTYPE
W_0000047,ACC_011258,SYN_ATM_08930,2025-01-02 13:17:32,20633,CASE_000050,SYNTHETIC_PROTOTYPE
W_0000048,ACC_001269,SYN_ATM_08707,2025-01-02 18:49:19,23304,CASE_000051,SYNTHETIC_PROTOTYPE
W_0000049,ACC_010401,SYN_ATM_00132,2025-01-02 15:02:43,3385,CASE_000053,SYNTHETIC_PROTOTYPE
W_0000050,ACC_005572,SYN_ATM_01865,2025-01-02 17:49:27,7960,CASE_000054,SYNTHETIC_PROTOTYPE
W_0000051,ACC_013263,SYN_ATM_16924,2025-01-02 21:59:47,4087,CASE_000055,SYNTHETIC_PROTOTYPE
W_0000052,ACC_007748,SYN_ATM_05174,2025-01-02 22:48:52,8995,CASE_000056,SYNTHETIC_PROTOTYPE
W_0000053,ACC_008590,SYN_ATM_05420,2024-12-31 10:14:44,5670,CASE_000056,SYNTHETIC_PROTOTYPE
W_0000054,ACC_018560,SYN_ATM_01845,2025-01-02 19:56:16,82155,CASE_000057,SYNTHETIC_PROTOTYPE
W_0000055,ACC_004984,SYN_ATM_11011,2025-01-02 20:26:06,73075,CASE_000058,SYNTHETIC_PROTOTYPE
W_0000056,ACC_014994,SYN_ATM_00801,2025-01-02 21:47:19,32470,CASE_000061,SYNTHETIC_PROTOTYPE
W_0000057,ACC_000268,SYN_ATM_15233,2025-01-02 22:09:14,2373,CASE_000062,SYNTHETIC_PROTOTYPE
W_0000058,ACC_002989,SYN_ATM_10828,2025-01-03 00:45:11,51435,CASE_000063,SYNTHETIC_PROTOTYPE
W_0000059,ACC_018476,SYN_ATM_13968,2025-01-02 21:14:47,25766,CASE_000065,SYNTHETIC_PROTOTYPE
W_0000060,ACC_007270,SYN_ATM_13084,2025-01-03 02:34:06,6595,CASE_000067,SYNTHETIC_PROTOTYPE
W_0000061,ACC_008183,SYN_ATM_18711,2025-01-03 03:37:10,10063,CASE_000068,SYNTHETIC_PROTOTYPE
W_0000062,ACC_001040,SYN_ATM_18263,2025-01-03 00:04:21,73687,CASE_000069,SYNTHETIC_PROTOTYPE
W_0000063,ACC_011186,SYN_ATM_19209,2025-01-03 03:42:17,13420,CASE_000071,SYNTHETIC_PROTOTYPE
W_0000064,ACC_015492,SYN_ATM_19394,2024-12-31 16:43:32,36748,CASE_000071,SYNTHETIC_PROTOTYPE
W_0000065,ACC_019569,SYN_ATM_19297,2024-12-31 10:58:05,3155,CASE_000071,SYNTHETIC_PROTOTYPE
W_0000066,ACC_011269,SYN_ATM_09716,2025-01-03 05:44:33,4206,CASE_000073,SYNTHETIC_PROTOTYPE
W_0000067,ACC_000594,SYN_ATM_09715,2025-01-01 04:57:13,4404,CASE_000073,SYNTHETIC_PROTOTYPE
W_0000068,ACC_001559,SYN_ATM_07328,2025-01-03 07:42:34,5575,CASE_000074,SYNTHETIC_PROTOTYPE
W_0000069,ACC_002191,SYN_ATM_05509,2025-01-03 12:11:46,7206,CASE_000075,SYNTHETIC_PROTOTYPE
W_0000070,ACC_013937,SYN_ATM_08838,2025-01-03 14:45:24,72375,CASE_000077,SYNTHETIC_PROTOTYPE
W_0000071,ACC_019824,SYN_ATM_00917,2025-01-03 10:36:01,15291,CASE_000078,SYNTHETIC_PROTOTYPE
W_0000072,ACC_013637,SYN_ATM_07698,2025-01-03 18:39:44,3310,CASE_000080,SYNTHETIC_PROTOTYPE
W_0000073,ACC_002891,SYN_ATM_00566,2025-01-03 20:33:59,15845,CASE_000081,SYNTHETIC_PROTOTYPE
W_0000074,ACC_003291,SYN_ATM_04816,2025-01-03 16:24:21,6763,CASE_000082,SYNTHETIC_PROTOTYPE
W_0000076,ACC_014058,SYN_ATM_04937,2024-12-31 16:21:11,1349,CASE_000082,SYNTHETIC_PROTOTYPE
W_0000075,ACC_019379,SYN_ATM_04961,2025-01-02 09:52:22,7225,CASE_000082,SYNTHETIC_PROTOTYPE
W_0000077,ACC_013900,SYN_ATM_10966,2025-01-03 20:03:24,16454,CASE_000083,SYNTHETIC_PROTOTYPE
W_0000078,ACC_018935,SYN_ATM_15574,2025-01-03 23:00:14,51314,CASE_000086,SYNTHETIC_PROTOTYPE
W_0000079,ACC_008598,SYN_ATM_12089,2025-01-03 23:17:08,3370,CASE_000087,SYNTHETIC_PROTOTYPE
W_0000080,ACC_001478,SYN_ATM_14381,2025-01-04 00:56:26,46461,CASE_000090,SYNTHETIC_PROTOTYPE
W_0000081,ACC_017133,SYN_ATM_11861,2025-01-04 01:03:14,13941,CASE_000091,SYNTHETIC_PROTOTYPE
W_0000082,ACC_006440,SYN_ATM_12002,2025-01-01 21:10:07,4763,CASE_000091,SYNTHETIC_PROTOTYPE
W_0000083,ACC_004836,SYN_ATM_11890,2025-01-04 03:32:03,13333,CASE_000092,SYNTHETIC_PROTOTYPE
W_0000084,ACC_019604,SYN_ATM_11888,2025-01-03 10:35:10,10535,CASE_000092,SYNTHETIC_PROTOTYPE
W_0000085,ACC_006497,SYN_ATM_06317,2025-01-04 06:06:41,7674,CASE_000093,SYNTHETIC_PROTOTYPE
W_0000086,ACC_005511,SYN_ATM_07885,2025-01-04 08:44:50,5844,CASE_000095,SYNTHETIC_PROTOTYPE
W_0000087,ACC_015343,SYN_ATM_16258,2025-01-04 10:16:19,7956,CASE_000096,SYNTHETIC_PROTOTYPE
W_0000088,ACC_011649,SYN_ATM_16332,2025-01-03 04:42:44,14542,CASE_000096,SYNTHETIC_PROTOTYPE
W_0000089,ACC_006092,SYN_ATM_11538,2025-01-04 11:19:17,7878,CASE_000097,SYNTHETIC_PROTOTYPE
W_0000090,ACC_013261,SYN_ATM_11478,2025-01-03 23:58:34,14157,CASE_000097,SYNTHETIC_PROTOTYPE
W_0000091,ACC_001217,SYN_ATM_00886,2025-01-04 10:07:19,4960,CASE_000098,SYNTHETIC_PROTOTYPE
W_0000092,ACC_018869,SYN_ATM_12146,2025-01-04 16:20:00,4975,CASE_000099,SYNTHETIC_PROTOTYPE
W_0000093,ACC_008048,SYN_ATM_08032,2025-01-04 16:11:15,19484,CASE_000100,SYNTHETIC_PROTOTYPE
W_0000094,ACC_013789,SYN_ATM_08330,2025-01-01 13:24:32,14079,CASE_000100,SYNTHETIC_PROTOTYPE
W_0000095,ACC_001842,SYN_ATM_01705,2025-01-04 15:20:47,2559,CASE_000101,SYNTHETIC_PROTOTYPE
W_0000096,ACC_014728,SYN_ATM_10536,2025-01-04 17:06:04,13756,CASE_000102,SYNTHETIC_PROTOTYPE
W_0000097,ACC_003701,SYN_ATM_18756,2025-01-04 21:48:15,2015,CASE_000103,SYNTHETIC_PROTOTYPE
W_0000099,ACC_002466,SYN_ATM_18685,2025-01-02 04:14:53,1000,CASE_000103,SYNTHETIC_PROTOTYPE
W_0000098,ACC_002858,SYN_ATM_18592,2025-01-02 02:01:44,1363,CASE_000103,SYNTHETIC_PROTOTYPE
W_0000100,ACC_002992,SYN_ATM_16547,2025-01-04 19:13:47,28930,CASE_000104,SYNTHETIC_PROTOTYPE
W_0000101,ACC_002937,SYN_ATM_18112,2025-01-04 18:11:35,3850,CASE_000105,SYNTHETIC_PROTOTYPE
W_0000102,ACC_008699,SYN_ATM_01176,2025-01-05 00:47:12,5563,CASE_000107,SYNTHETIC_PROTOTYPE
W_0000103,ACC_015089,SYN_ATM_01185,2025-01-02 11:24:11,10541,CASE_000107,SYNTHETIC_PROTOTYPE
W_0000104,ACC_003653,SYN_ATM_06638,2025-01-04 22:22:04,7537,CASE_000108,SYNTHETIC_PROTOTYPE
W_0000105,ACC_018784,SYN_ATM_06581,2025-01-05 02:05:09,12804,CASE_000110,SYNTHETIC_PROTOTYPE
W_0000106,ACC_001333,SYN_ATM_06173,2025-01-03 04:25:31,4725,CASE_000110,SYNTHETIC_PROTOTYPE
W_0000107,ACC_013699,SYN_ATM_03293,2025-01-05 03:15:51,49876,CASE_000112,SYNTHETIC_PROTOTYPE
W_0000108,ACC_007998,SYN_ATM_15008,2025-01-05 05:02:00,19428,CASE_000113,SYNTHETIC_PROTOTYPE
W_0000109,ACC_015158,SYN_ATM_14506,2025-01-02 01:14:20,6752,CASE_000113,SYNTHETIC_PROTOTYPE
W_0000110,ACC_019315,SYN_ATM_05618,2025-01-05 07:50:39,121902,CASE_000114,SYNTHETIC_PROTOTYPE
W_0000111,ACC_007856,SYN_ATM_05324,2025-01-05 03:32:42,5237,CASE_000115,SYNTHETIC_PROTOTYPE
W_0000112,ACC_009213,SYN_ATM_06869,2025-01-05 07:12:19,8203,CASE_000116,SYNTHETIC_PROTOTYPE
W_0000113,ACC_015648,SYN_ATM_09205,2025-01-05 07:58:04,4855,CASE_000117,SYNTHETIC_PROTOTYPE
W_0000114,ACC_015095,SYN_ATM_05181,2025-01-05 08:06:17,1181,CASE_000118,SYNTHETIC_PROTOTYPE
W_0000115,ACC_007959,SYN_ATM_05521,2025-01-02 22:25:26,1000,CASE_000118,SYNTHETIC_PROTOTYPE
W_0000116,ACC_006808,SYN_ATM_16761,2025-01-05 11:02:26,3716,CASE_000120,SYNTHETIC_PROTOTYPE
W_0000117,ACC_003867,SYN_ATM_14685,2025-01-05 15:02:26,13394,CASE_000121,SYNTHETIC_PROTOTYPE
W_0000118,ACC_006822,SYN_ATM_04031,2025-01-05 12:03:16,25524,CASE_000122,SYNTHETIC_PROTOTYPE
W_0000119,ACC_017528,SYN_ATM_04432,2025-01-02 21:02:42,8976,CASE_000122,SYNTHETIC_PROTOTYPE
W_0000120,ACC_010845,SYN_ATM_04026,2025-01-04 19:29:51,5514,CASE_000122,SYNTHETIC_PROTOTYPE
W_0000121,ACC_010365,SYN_ATM_01179,2025-01-05 15:16:04,13411,CASE_000123,SYNTHETIC_PROTOTYPE
W_0000122,ACC_012509,SYN_ATM_09167,2025-01-05 15:19:22,7698,CASE_000125,SYNTHETIC_PROTOTYPE
W_0000123,ACC_005879,SYN_ATM_09187,2025-01-02 14:09:34,2811,CASE_000125,SYNTHETIC_PROTOTYPE
W_0000124,ACC_005504,SYN_ATM_09006,2025-01-02 14:22:42,3170,CASE_000125,SYNTHETIC_PROTOTYPE
W_0000125,ACC_001575,SYN_ATM_11170,2025-01-05 17:45:23,42936,CASE_000127,SYNTHETIC_PROTOTYPE
W_0000126,ACC_016948,SYN_ATM_03222,2025-01-05 16:58:33,14765,CASE_000129,SYNTHETIC_PROTOTYPE
W_0000127,ACC_013981,SYN_ATM_14139,2025-01-05 16:40:08,9704,CASE_000130,SYNTHETIC_PROTOTYPE
W_0000128,ACC_007009,SYN_ATM_12561,2025-01-05 16:21:01,16213,CASE_000132,SYNTHETIC_PROTOTYPE
W_0000129,ACC_014495,SYN_ATM_15244,2025-01-05 16:15:41,2629,CASE_000133,SYNTHETIC_PROTOTYPE
W_0000130,ACC_018922,SYN_ATM_04292,2025-01-05 20:40:17,107990,CASE_000134,SYNTHETIC_PROTOTYPE
W_0000131,ACC_001360,SYN_ATM_15445,2025-01-05 21:52:43,13142,CASE_000137,SYNTHETIC_PROTOTYPE
W_0000132,ACC_009522,SYN_ATM_15522,2025-01-03 09:36:56,7165,CASE_000137,SYNTHETIC_PROTOTYPE
W_0000133,ACC_005995,SYN_ATM_02976,2025-01-05 23:01:28,31822,CASE_000138,SYNTHETIC_PROTOTYPE
W_0000134,ACC_006022,SYN_ATM_08950,2025-01-06 06:06:37,13502,CASE_000139,SYNTHETIC_PROTOTYPE
W_0000135,ACC_015497,SYN_ATM_08943,2025-01-03 00:06:47,6757,CASE_000139,SYNTHETIC_PROTOTYPE
W_0000136,ACC_014054,SYN_ATM_17495,2025-01-06 07:19:29,8364,CASE_000142,SYNTHETIC_PROTOTYPE
W_0000137,ACC_004394,SYN_ATM_18363,2025-01-06 12:59:38,17000,CASE_000144,SYNTHETIC_PROTOTYPE
W_0000138,ACC_013489,SYN_ATM_18583,2025-01-04 01:46:36,12497,CASE_000144,SYNTHETIC_PROTOTYPE
W_0000139,ACC_010455,SYN_ATM_18356,2025-01-05 14:34:56,1980,CASE_000144,SYNTHETIC_PROTOTYPE
W_0000140,ACC_008184,SYN_ATM_12894,2025-01-06 16:28:15,13294,CASE_000146,SYNTHETIC_PROTOTYPE
W_0000141,ACC_017361,SYN_ATM_13016,2025-01-03 17:52:35,3297,CASE_000146,SYNTHETIC_PROTOTYPE
W_0000142,ACC_004261,SYN_ATM_09671,2025-01-06 12:10:50,25934,CASE_000147,SYNTHETIC_PROTOTYPE
W_0000144,ACC_018165,SYN_ATM_09872,2025-01-04 02:57:52,1000,CASE_000147,SYNTHETIC_PROTOTYPE
W_0000143,ACC_015008,SYN_ATM_09506,2025-01-03 11:46:12,1063,CASE_000147,SYNTHETIC_PROTOTYPE
W_0000145,ACC_008859,SYN_ATM_04043,2025-01-06 18:06:50,4122,CASE_000148,SYNTHETIC_PROTOTYPE
W_0000146,ACC_000577,SYN_ATM_11451,2025-01-06 16:56:33,6010,CASE_000149,SYNTHETIC_PROTOTYPE
W_0000147,ACC_006543,SYN_ATM_00139,2025-01-06 13:31:58,29293,CASE_000150,SYNTHETIC_PROTOTYPE
W_0000148,ACC_011149,SYN_ATM_00112,2025-01-04 12:38:11,1749,CASE_000150,SYNTHETIC_PROTOTYPE
W_0000149,ACC_005510,SYN_ATM_10803,2025-01-06 18:38:23,1100,CASE_000152,SYNTHETIC_PROTOTYPE
W_0000150,ACC_017713,SYN_ATM_12994,2025-01-06 22:18:13,16391,CASE_000155,SYNTHETIC_PROTOTYPE
W_0000151,ACC_018031,SYN_ATM_18094,2025-01-07 00:31:26,1551,CASE_000158,SYNTHETIC_PROTOTYPE
W_0000152,ACC_013147,SYN_ATM_05989,2025-01-07 00:02:22,5167,CASE_000159,SYNTHETIC_PROTOTYPE
W_0000153,ACC_014531,SYN_ATM_02884,2025-01-07 01:35:33,12566,CASE_000160,SYNTHETIC_PROTOTYPE
W_0000154,ACC_014192,SYN_ATM_02843,2025-01-05 08:00:16,2014,CASE_000160,SYNTHETIC_PROTOTYPE
W_0000155,ACC_004592,SYN_ATM_07946,2025-01-07 00:42:59,3586,CASE_000161,SYNTHETIC_PROTOTYPE
W_0000156,ACC_012314,SYN_ATM_19421,2025-01-07 02:07:41,2567,CASE_000162,SYNTHETIC_PROTOTYPE
W_0000157,ACC_002264,SYN_ATM_13770,2025-01-07 04:14:56,26623,CASE_000163,SYNTHETIC_PROTOTYPE
W_0000158,ACC_012103,SYN_ATM_13400,2025-01-04 19:41:13,1650,CASE_000163,SYNTHETIC_PROTOTYPE
W_0000159,ACC_004674,SYN_ATM_16796,2025-01-07 01:57:39,17247,CASE_000165,SYNTHETIC_PROTOTYPE
W_0000160,ACC_015469,SYN_ATM_17103,2025-01-04 01:12:35,22415,CASE_000165,SYNTHETIC_PROTOTYPE
W_0000161,ACC_009301,SYN_ATM_00173,2025-01-07 08:15:56,13317,CASE_000166,SYNTHETIC_PROTOTYPE
W_0000162,ACC_018612,SYN_ATM_00195,2025-01-04 13:24:25,4830,CASE_000166,SYNTHETIC_PROTOTYPE
W_0000163,ACC_008918,SYN_ATM_00234,2025-01-06 04:39:18,2536,CASE_000166,SYNTHETIC_PROTOTYPE
W_0000164,ACC_010012,SYN_ATM_03858,2025-01-07 05:05:10,4992,CASE_000167,SYNTHETIC_PROTOTYPE
W_0000165,ACC_007012,SYN_ATM_00858,2025-01-07 09:25:27,15972,CASE_000168,SYNTHETIC_PROTOTYPE
W_0000166,ACC_000358,SYN_ATM_11375,2025-01-07 05:38:17,19004,CASE_000169,SYNTHETIC_PROTOTYPE
W_0000167,ACC_000883,SYN_ATM_16486,2025-01-07 08:31:18,2249,CASE_000170,SYNTHETIC_PROTOTYPE
W_0000168,ACC_016047,SYN_ATM_09590,2025-01-07 08:08:02,27835,CASE_000171,SYNTHETIC_PROTOTYPE
W_0000169,ACC_011360,SYN_ATM_15606,2025-01-07 09:42:45,13080,CASE_000172,SYNTHETIC_PROTOTYPE
W_0000170,ACC_004829,SYN_ATM_06110,2025-01-07 14:19:55,18040,CASE_000175,SYNTHETIC_PROTOTYPE
W_0000171,ACC_001386,SYN_ATM_06008,2025-01-06 02:45:24,2277,CASE_000175,SYNTHETIC_PROTOTYPE
W_0000172,ACC_014648,SYN_ATM_09148,2025-01-07 12:08:22,200000,CASE_000177,SYNTHETIC_PROTOTYPE
W_0000173,ACC_010117,SYN_ATM_09072,2025-01-05 02:23:05,18463,CASE_000177,SYNTHETIC_PROTOTYPE
W_0000174,ACC_003815,SYN_ATM_05234,2025-01-07 16:56:28,15187,CASE_000178,SYNTHETIC_PROTOTYPE
W_0000175,ACC_002517,SYN_ATM_05172,2025-01-06 20:21:38,4207,CASE_000178,SYNTHETIC_PROTOTYPE
W_0000176,ACC_008530,SYN_ATM_02358,2025-01-07 16:01:08,8491,CASE_000179,SYNTHETIC_PROTOTYPE
W_0000177,ACC_008878,SYN_ATM_05348,2025-01-07 17:04:21,4931,CASE_000180,SYNTHETIC_PROTOTYPE
W_0000178,ACC_000598,SYN_ATM_02600,2025-01-07 12:53:30,28048,CASE_000181,SYNTHETIC_PROTOTYPE
W_0000179,ACC_018547,SYN_ATM_12168,2025-01-07 17:08:00,2800,CASE_000182,SYNTHETIC_PROTOTYPE
W_0000180,ACC_006041,SYN_ATM_13719,2025-01-07 15:20:54,28252,CASE_000183,SYNTHETIC_PROTOTYPE
W_0000181,ACC_003886,SYN_ATM_13322,2025-01-07 14:53:24,2522,CASE_000184,SYNTHETIC_PROTOTYPE
W_0000182,ACC_003321,SYN_ATM_04663,2025-01-07 16:19:22,4693,CASE_000185,SYNTHETIC_PROTOTYPE
W_0000183,ACC_016289,SYN_ATM_05418,2025-01-07 20:22:16,19264,CASE_000186,SYNTHETIC_PROTOTYPE
W_0000184,ACC_016443,SYN_ATM_08740,2025-01-07 19:57:17,5257,CASE_000187,SYNTHETIC_PROTOTYPE
W_0000185,ACC_009171,SYN_ATM_08854,2025-01-07 11:57:24,1000,CASE_000187,SYNTHETIC_PROTOTYPE
W_0000186,ACC_007907,SYN_ATM_00541,2025-01-08 01:37:36,3667,CASE_000188,SYNTHETIC_PROTOTYPE
W_0000187,ACC_000916,SYN_ATM_00530,2025-01-05 21:41:31,4961,CASE_000188,SYNTHETIC_PROTOTYPE
W_0000188,ACC_002410,SYN_ATM_19753,2025-01-08 00:43:29,49031,CASE_000190,SYNTHETIC_PROTOTYPE
W_0000189,ACC_009269,SYN_ATM_19831,2025-01-07 07:19:33,5115,CASE_000190,SYNTHETIC_PROTOTYPE
W_0000190,ACC_006490,SYN_ATM_00890,2025-01-08 03:40:42,3989,CASE_000191,SYNTHETIC_PROTOTYPE
W_0000191,ACC_003012,SYN_ATM_19954,2025-01-08 02:08:44,1000,CASE_000192,SYNTHETIC_PROTOTYPE
W_0000192,ACC_016497,SYN_ATM_08233,2025-01-08 05:18:25,5023,CASE_000193,SYNTHETIC_PROTOTYPE
W_0000193,ACC_013219,SYN_ATM_05899,2025-01-08 03:29:47,43797,CASE_000196,SYNTHETIC_PROTOTYPE
W_0000194,ACC_019521,SYN_ATM_04420,2025-01-08 05:13:36,6534,CASE_000197,SYNTHETIC_PROTOTYPE
W_0000195,ACC_008999,SYN_ATM_04233,2025-01-06 03:28:00,1360,CASE_000197,SYNTHETIC_PROTOTYPE
W_0000196,ACC_012824,SYN_ATM_04311,2025-01-06 10:02:57,1000,CASE_000197,SYNTHETIC_PROTOTYPE
W_0000197,ACC_015119,SYN_ATM_15145,2025-01-08 08:39:41,31964,CASE_000198,SYNTHETIC_PROTOTYPE
W_0000198,ACC_010155,SYN_ATM_10869,2025-01-08 06:55:55,23667,CASE_000199,SYNTHETIC_PROTOTYPE
W_0000199,ACC_004414,SYN_ATM_02179,2025-01-08 08:12:14,2164,CASE_000201,SYNTHETIC_PROTOTYPE
W_0000200,ACC_002078,SYN_ATM_16084,2025-01-08 12:26:52,5375,CASE_000203,SYNTHETIC_PROTOTYPE
W_0000202,ACC_013770,SYN_ATM_15866,2025-01-05 05:55:59,1000,CASE_000203,SYNTHETIC_PROTOTYPE
W_0000201,ACC_009316,SYN_ATM_15687,2025-01-07 21:08:10,2042,CASE_000203,SYNTHETIC_PROTOTYPE
W_0000203,ACC_018246,SYN_ATM_12572,2025-01-08 10:42:27,27977,CASE_000204,SYNTHETIC_PROTOTYPE
W_0000204,ACC_016065,SYN_ATM_06893,2025-01-08 07:19:46,14251,CASE_000205,SYNTHETIC_PROTOTYPE
W_0000205,ACC_006848,SYN_ATM_02448,2025-01-08 09:44:31,16660,CASE_000206,SYNTHETIC_PROTOTYPE
W_0000206,ACC_000150,SYN_ATM_02384,2025-01-08 12:20:37,1382,CASE_000207,SYNTHETIC_PROTOTYPE
W_0000207,ACC_006231,SYN_ATM_07960,2025-01-08 15:05:21,14433,CASE_000208,SYNTHETIC_PROTOTYPE
W_0000209,ACC_018785,SYN_ATM_08006,2025-01-07 03:59:03,3952,CASE_000208,SYNTHETIC_PROTOTYPE
W_0000208,ACC_004982,SYN_ATM_08173,2025-01-07 06:49:05,3332,CASE_000208,SYNTHETIC_PROTOTYPE
W_0000210,ACC_009328,SYN_ATM_03960,2025-01-08 16:09:15,20597,CASE_000209,SYNTHETIC_PROTOTYPE
W_0000211,ACC_001777,SYN_ATM_17276,2025-01-08 12:37:02,16544,CASE_000210,SYNTHETIC_PROTOTYPE
W_0000212,ACC_010651,SYN_ATM_09817,2025-01-08 15:03:16,19106,CASE_000211,SYNTHETIC_PROTOTYPE
W_0000213,ACC_017305,SYN_ATM_09664,2025-01-07 12:54:00,14858,CASE_000211,SYNTHETIC_PROTOTYPE
W_0000214,ACC_015158,SYN_ATM_02477,2025-01-08 21:57:21,48434,CASE_000213,SYNTHETIC_PROTOTYPE
